cnt,type,year,suffix
39414,ForkEvent,2018,0611
42848,ForkEvent,2018,0316
43925,ForkEvent,2018,1008
31779,ForkEvent,2019,0223
37184,ForkEvent,2018,0813
27767,ForkEvent,2018,0304
42004,ForkEvent,2019,0505
32091,ForkEvent,2019,0205
36561,ForkEvent,2018,1122
25837,ForkEvent,2018,0128
29170,ForkEvent,2018,0501
28167,ForkEvent,2018,1202
47780,ForkEvent,2019,0812
45173,ForkEvent,2018,0327
48913,ForkEvent,2018,1030
38592,ForkEvent,2018,0515
32668,ForkEvent,2019,0427
23148,ForkEvent,2019,0202
37157,ForkEvent,2019,1006
61895,ForkEvent,2019,0424
54934,ForkEvent,2019,1121
26076,ForkEvent,2018,0107
18961,ForkEvent,2018,1231
44332,ForkEvent,2018,0130
51803,ForkEvent,2019,1216
54266,ForkEvent,2019,0625
55791,ForkEvent,2019,1002
44604,ForkEvent,2019,0215
56774,ForkEvent,2019,1021
32435,ForkEvent,2019,0323
33556,ForkEvent,2019,0324
23804,ForkEvent,2018,1104
44908,ForkEvent,2018,1025
31838,ForkEvent,2019,0721
35314,ForkEvent,2018,0810
41917,ForkEvent,2019,0115
41579,ForkEvent,2019,0428
44912,ForkEvent,2019,0816
39716,ForkEvent,2019,0125
51387,ForkEvent,2019,0530
59544,ForkEvent,2019,0425
36426,ForkEvent,2019,1231
32475,ForkEvent,2019,0309
22322,ForkEvent,2019,0203
54623,ForkEvent,2019,0318
42633,ForkEvent,2018,0410
32580,ForkEvent,2019,0928
41569,ForkEvent,2019,0128
52447,ForkEvent,2019,0426
28655,ForkEvent,2019,1221
38675,ForkEvent,2019,0827
47826,ForkEvent,2019,1213
40757,ForkEvent,2019,1226
55004,ForkEvent,2019,0509
39008,ForkEvent,2019,0118
54134,ForkEvent,2019,0307
49030,ForkEvent,2019,0322
51886,ForkEvent,2019,0822
42852,ForkEvent,2018,1128
55398,ForkEvent,2019,1105
51506,ForkEvent,2019,0807
45428,ForkEvent,2018,0117
55276,ForkEvent,2019,0513
51840,ForkEvent,2019,1018
24616,ForkEvent,2019,0127
38827,ForkEvent,2018,1004
17976,ForkEvent,2019,0912
32640,ForkEvent,2019,0310
34907,ForkEvent,2019,1225
55079,ForkEvent,2019,0604
47214,ForkEvent,2019,0214
50048,ForkEvent,2019,0805
39336,ForkEvent,2019,1019
56183,ForkEvent,2019,0717
42968,ForkEvent,2019,0116
50980,ForkEvent,2019,1127
55070,ForkEvent,2019,1210
28727,ForkEvent,2019,0706
49364,ForkEvent,2019,1122
58780,ForkEvent,2019,0507
61337,ForkEvent,2019,1015
48219,ForkEvent,2019,0621
55614,ForkEvent,2019,0528
25976,ForkEvent,2019,0112
41353,ForkEvent,2019,1230
52978,ForkEvent,2019,0711
54472,ForkEvent,2019,1209
99628,ForkEvent,2019,0422
49052,ForkEvent,2019,1115
51803,ForkEvent,2019,0418
55003,ForkEvent,2019,0312
30455,ForkEvent,2019,0406
28972,ForkEvent,2019,0803
46297,ForkEvent,2019,0628
51609,ForkEvent,2019,0517
51828,ForkEvent,2019,0620
48597,ForkEvent,2019,0213
53616,ForkEvent,2019,0429
56391,ForkEvent,2019,1029
29306,ForkEvent,2019,0825
47431,ForkEvent,2019,1004
55437,ForkEvent,2019,0723
36351,ForkEvent,2019,0104
37301,ForkEvent,2019,0826
44245,ForkEvent,2019,0129
49020,ForkEvent,2019,1206
22916,ForkEvent,2018,0506
53596,ForkEvent,2019,0321
18046,ForkEvent,2019,0101
42961,ForkEvent,2019,0211
53333,ForkEvent,2019,0718
52902,ForkEvent,2019,1212
45336,ForkEvent,2018,0305
28879,ForkEvent,2019,0804
53702,ForkEvent,2019,0605
51444,ForkEvent,2019,1218
33687,ForkEvent,2018,1221
52203,ForkEvent,2019,0225
52952,ForkEvent,2019,0610
52537,ForkEvent,2019,0930
55183,ForkEvent,2019,1118
50007,ForkEvent,2019,0315
